freq,unit,indic_il,deg_urb,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR,MED_E,DEG1,F,Y_GE60,BE	12246 	12780 	12775 	13162 	13740 	14091 	15717 	15748 	16109 	16026 b	17379 	18123 	18400 	18277 	18986 	18973 	19635 b	20308 	21201 	20706 
A,EUR,MED_E,DEG1,F,Y_GE60,BG	: 	: 	: 	1219 	1272 	1896 	2286 	2991 	2927 	2688 b	2890 	3593 	3009 	3037 b	3237 	3367 	3653 	4037 	4517 	4631 
A,EUR,MED_E,DEG1,F,Y_GE60,CH	: 	: 	: 	: 	25485 	24153 	24248 	26870 	29340 	33086 b	35090 	34385 b	35934 	39827 	37970 	37514 	34559 	35995 	38425 	40989 
A,EUR,MED_E,DEG1,F,Y_GE60,CY	: 	: 	8825 	9823 	10903 	10669 b	11641 	12161 	12551 	13241 b	13654 	11945 	12650 	12255 	12861 	14257 	14631 	15327 	15342 	15694 
A,EUR,MED_E,DEG1,F,Y_GE60,CZ	: 	: 	3731 	4164 	4734 	5061 	6232 	6191 	6528 	7024 b	7167 	6959 	6535 	6686 	6851 	7369 	7972 	8630 	9196 	9629 
A,EUR,MED_E,DEG1,F,Y_GE60,DE	: 	: 	15900 	14931 	15848 	16616 	16699 	17215 	17732 	17451 b	17508 	17726 	18292 	18399 	19140 	19317 	20135 	23199 b	22596 	22608 
A,EUR,MED_E,DEG1,F,Y_GE60,DK	17100 	17149 	17815 	18511 	19285 	19525 	20599 	20961 	22876 b	22758 b	22344 	24512 	24537 	25022 	26765 	27240 	27595 	27234 b	28663 	29026 
A,EUR,MED_E,DEG1,F,Y_GE60,EA	: 	: 	: 	: 	: 	15986 e	16362 e	16832 e	17082 e	17380 e	17405 e	17618 e	17614 e	17994 e	18347 e	18618 e	18571 	19904 b	19828 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,EA18	: 	: 	13877 	13710 	14313 	15748 	16212 	16675 	16981 	17265 	17298 	17618 	17760 	18138 	18479 	18751 	18706 	20042 b	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,EA19	: 	: 	13775 	13612 	14225 	15643 	16108 	16567 	16866 	17135 	17167 	17480 	17614 	17994 	18347 	18618 	18571 	19904 b	19828 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17519 	17511 	17886 	18228 	18494 	18441 	19769 	19691 	19930 
A,EUR,MED_E,DEG1,F,Y_GE60,EE	: 	2114 	2421 	2822 	3203 	3804 	4633 	4602 	4755 	4741 b	5103 	4995 b	5713 	6008 	6481 	6788 	7469 	8148 	8701 	9014 
A,EUR,MED_E,DEG1,F,Y_GE60,EL	8150 	8453 	8688 	9380 	10082 	10659 	11144 	11787 	10240 	10512 b	8867 	8491 	8473 	8600 	8673 	8730 	9140 	9832 	9673 	10096 
A,EUR,MED_E,DEG1,F,Y_GE60,ES	: 	9493 	9445 	9730 	10653 	13451 b	14849 	14792 	14568 	14984 b	14939 	14826 	14540 	14749 	15117 	15533 	16303 	17847 	17858 	18672 
A,EUR,MED_E,DEG1,F,Y_GE60,EU	: 	: 	: 	: 	: 	14064 e	14257 e	14539 e	14873 e	15436 e	15410 e	15926 e	15890 e	16265 e	16491 e	16730 e	16669 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,EU27_2007	: 	: 	12431 e	12663 e	13346 	14064 	14257 	14594 	14935 	15502 	15468 	15984 	15951 	16329 	16560 	16802 	16742 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14593 e	14910 e	15062 e	15176 e	15458 e	15438 e	15803 e	16155 e	16422 e	16340 e	17533 b	17606 	17930 
A,EUR,MED_E,DEG1,F,Y_GE60,EU28	: 	: 	: 	: 	: 	: 	: 	14539 	14873 	15436 	15410 	15926 	15890 	16265 	16491 	16730 	16669 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,FI	: 	14369 	14597 	15044 	15821 	17068 	18114 	19474 	20018 	20293 b	20209 	21159 	21349 	22174 	23031 	23987 	23595 	23777 	22868 	23859 
A,EUR,MED_E,DEG1,F,Y_GE60,FR	: 	15285 	16234 	15849 	16769 	19609 b	20125 	20541 	21855 	22906 b	22970 	23746 	23394 	23998 	24112 	24298 	23166 	22853 b	22644 	22482 b
A,EUR,MED_E,DEG1,F,Y_GE60,HR	: 	: 	: 	: 	: 	: 	: 	5777 	5676 	5646 b	5743 	5542 	5623 	5842 	6066 	6402 	6632 	6773 	6814 	7331 
A,EUR,MED_E,DEG1,F,Y_GE60,HU	: 	: 	3910 	4118 	4238 	4917 	5325 	4896 	4968 	5068 b	5031 	5282 	5357 	5430 	5394 	5582 	5771 	6248 	6516 	7043 
A,EUR,MED_E,DEG1,F,Y_GE60,IE	12953 	14065 	15570 	16472 	18716 	22338 	21577 	21198 	19202 	20406 b	21703 	22464 	23361 	23586 	23595 	24011 	23630 	27327 b	27113 	28079 
A,EUR,MED_E,DEG1,F,Y_GE60,IS	: 	18636 	20179 	25408 	25556 	29873 	21977 	18767 	18697 	18559 b	20433 	22163 	25087 	28379 	33792 	38922 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,IT	: 	13245 	13571 	14137 	14245 	15155 	15018 	15917 	15868 	16339 	16230 	16419 	16784 b	17609 	17704 	17961 	18217 	19096 	19552 	19501 
A,EUR,MED_E,DEG1,F,Y_GE60,LT	: 	: 	1949 	2184 	2725 	3661 	4223 	4187 	3723 	3871 b	4355 	4277 	4452 	4807 	5104 	5547 	6003 	6386 	7052 	7499 
A,EUR,MED_E,DEG1,F,Y_GE60,LU	24797 	26361 	27454 	28801 	29073 	30431 	31106 	33724 	32978 	36185 b	32812 	37645 	38310 	37278 b	43211 	46698 	40622 	46889 b	46384 b	50264 b
A,EUR,MED_E,DEG1,F,Y_GE60,LV	: 	: 	1757 	2031 	2594 	3272 	3860 	3926 	3905 	3803 b	3953 	4091 	4315 	4713 	4760 	5023 	5678 	6350 	6612 	7573 
A,EUR,MED_E,DEG1,F,Y_GE60,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2706 	2857 	3082 	3258 	3396 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,MT	: 	: 	6792 	7485 	7599 	7742 	8702 	8834 	9323 	9743 b	10074 	10540 	10724 	10721 	11185 	11330 	11762 	13334 	13130 	13705 
A,EUR,MED_E,DEG1,F,Y_GE60,NL	: 	: 	15557 	15798 	16049 	17195 	18033 	18217 	18548 	18982 b	18989 	19059 	19261 	19290 b	19668 	20381 	20595 	21571 	21909 	22567 
A,EUR,MED_E,DEG1,F,Y_GE60,NO	: 	22367 	22113 	24550 	26208 	29132 	31558 	30662 	34730 	39721 b	41939 	: 	42107 	39007 	37313 	38778 	39969 	40069 	35053 b	38399 
A,EUR,MED_E,DEG1,F,Y_GE60,PL	: 	: 	2955 	3622 	4074 	4470 	5269 	4614 	5345 	5542 b	5706 	5821 	6020 	6209 	6166 	6732 	6915 	7566 	7787 	8661 
A,EUR,MED_E,DEG1,F,Y_GE60,PT	: 	6672 	7565 	7392 	7324 	8235 	8665 	8761 	8762 	9037 b	8886 	8680 	8657 	9100 	9282 	9773 	10583 	11477 	11380 	12027 
A,EUR,MED_E,DEG1,F,Y_GE60,RO	: 	: 	: 	: 	1806 	2387 	2806 	2698 	2758 	2789 b	2587 	2881 	2910 	3186 	3367 	3829 	4282 	4613 	5038 	6583 
A,EUR,MED_E,DEG1,F,Y_GE60,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3112 	3182 	3103 	3046 	2996 	3264 	3863 	4097 	4653 	4761 
A,EUR,MED_E,DEG1,F,Y_GE60,SE	: 	15261 	16073 	17152 	17341 	18854 b	18930 	17277 	19792 	20380 b	21736 	22957 	21318 	21120 	22362 	22618 	22077 	22012 	22728 	23817 
A,EUR,MED_E,DEG1,F,Y_GE60,SI	: 	: 	8522 	8728 	9856 	10529 	11574 	11223 	11489 	11569 b	10989 	11751 	11999 	12326 	12389 	12557 	13062 	13438 	14287 	15004 
A,EUR,MED_E,DEG1,F,Y_GE60,SK	: 	: 	2636 	3140 	3628 	4213 	5196 	5727 	6129 	6337 b	6512 	6708 	7017 	6998 	7020 	7275 	7758 	8721 	8759 	9495 
A,EUR,MED_E,DEG1,F,Y_GE60,UK	: 	: 	14627 	15465 	16837 	15018 	13800 	14235 	14638 	17604 b	16813 	18634 	18606 	18932 	18353 b	18525 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2143 	2370 	2543 	2824 	2849 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,AT	16259 	17208 	19080 	18080 	18844 	17688 b	19030 	20308 	20783 	21138 b	22032 	23795 	23785 	24184 	25270 	24872 	26511 	27618 	28108 	27431 
A,EUR,MED_E,DEG1,F,Y_GE65,BE	12104 	12418 	12580 	12973 	13455 	13877 	15360 	15293 	15375 	15406 b	16950 	17585 	18242 	17801 	18865 	18860 	18938 b	19605 	20819 	20137 
A,EUR,MED_E,DEG1,F,Y_GE65,BG	: 	: 	: 	1181 	1216 	1722 	2113 	2773 	2631 	2367 b	2653 	3343 	2695 	2815 b	2912 	3079 	3316 	3543 	4011 	4012 
A,EUR,MED_E,DEG1,F,Y_GE65,CH	: 	: 	: 	: 	24259 	22044 	22410 	25594 	27538 	31777 b	32852 	31847 b	33969 	36726 	36137 	36263 	33074 	33665 	36422 	38248 
A,EUR,MED_E,DEG1,F,Y_GE65,CY	: 	: 	8002 	8942 	9531 	9822 b	10477 	11110 	11638 	12159 b	12837 	10967 	11530 	11396 	11944 	12926 	13768 	14061 	14020 	14641 
A,EUR,MED_E,DEG1,F,Y_GE65,CZ	: 	: 	3504 	4020 	4537 	4894 	6011 	5967 	6334 	6817 b	6935 	6765 	6319 	6540 	6699 	7036 	7686 	8240 	8760 	9300 
A,EUR,MED_E,DEG1,F,Y_GE65,DE	: 	: 	15761 	14832 	15641 	16486 	16520 	17218 	17735 	17470 b	17643 	17940 	18262 	18257 	18918 	19063 	19654 	22548 b	21724 	22000 
A,EUR,MED_E,DEG1,F,Y_GE65,DK	16053 	16449 	17432 	17750 	18708 	18708 	19580 	20182 	21490 b	21603 b	21460 	23169 	23408 	23998 	25067 	25423 	25683 	26051 b	27168 	27571 
A,EUR,MED_E,DEG1,F,Y_GE65,EA	: 	: 	: 	: 	: 	15523 e	15792 e	16393 e	16591 e	16811 e	16984 e	17358 e	17224 e	17686 e	17920 e	18026 e	18099 	19312 b	19285 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,EA18	: 	: 	13466 	13353 	13880 	15286 	15635 	16233 	16489 	16696 	16878 	17358 	17373 	17831 	18055 	18165 	18235 	19445 b	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,EA19	: 	: 	13370 	13259 	13794 	15181 	15535 	16127 	16375 	16565 	16743 	17215 	17224 	17686 	17920 	18026 	18099 	19312 b	19285 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17262 	17125 	17580 	17808 	17909 	17974 	19184 	19128 	19272 
A,EUR,MED_E,DEG1,F,Y_GE65,EE	: 	1875 	2291 	2690 	3012 	3562 	4167 	4319 	4474 	4670 b	4780 	4724 b	5291 	5681 	6115 	6374 	7063 	7692 	8247 	8495 
A,EUR,MED_E,DEG1,F,Y_GE65,EL	8150 	8181 	8405 	8960 	9840 	10522 	10827 	11400 	9673 	10160 b	8760 	8280 	8375 	8333 	8565 	8533 	9010 	9681 	9500 	9993 
A,EUR,MED_E,DEG1,F,Y_GE65,ES	: 	9100 	9022 	9200 	10200 	12841 b	14029 	13999 	13804 	14456 b	14342 	14467 	14070 	14442 	14571 	14890 	15748 	17279 	17188 	17846 
A,EUR,MED_E,DEG1,F,Y_GE65,EU	: 	: 	: 	: 	: 	13643 e	13767 e	14202 e	14499 e	14980 e	15038 e	15710 e	15585 e	15978 e	16149 e	16222 e	16236 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,EU27_2007	: 	: 	12047 e	12283 e	12911 	13643 	13767 	14257 	14560 	15042 	15092 	15767 	15644 	16041 	16215 	16290 	16307 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14295 e	14578 e	14660 e	14908 e	15319 e	15203 e	15595 e	15816 e	15914 e	15920 e	17001 b	17077 	17302 
A,EUR,MED_E,DEG1,F,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	14202 	14499 	14980 	15038 	15710 	15585 	15978 	16149 	16222 	16236 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,FI	: 	13434 	13663 	14174 	14893 	15687 	16976 	18138 	18867 	18935 b	18835 	19727 	20150 	21004 	21969 	21952 	22826 	21908 	21527 	22420 
A,EUR,MED_E,DEG1,F,Y_GE65,FR	: 	14866 	15839 	15477 	16051 	19121 b	19082 	20143 	21180 	21930 b	22395 	23389 	22708 	23679 	23771 	23515 	23180 	22614 b	22387 	21808 b
A,EUR,MED_E,DEG1,F,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	5250 	5268 	5511 b	5462 	5529 	5501 	5585 	5894 	6270 	6471 	6633 	6553 	6981 
A,EUR,MED_E,DEG1,F,Y_GE65,HU	: 	: 	3795 	3968 	4099 	4832 	5221 	4821 	4865 	4998 b	4984 	5165 	5262 	5389 	5394 	5493 	5702 	6094 	6395 	6993 
A,EUR,MED_E,DEG1,F,Y_GE65,IE	11880 	12759 	14268 	14942 	17021 	18860 	19084 	19665 	18648 	18966 b	22329 	21633 	23843 	22357 	22275 	22192 	22999 	25710 b	25523 	25395 
A,EUR,MED_E,DEG1,F,Y_GE65,IS	: 	17303 	18463 	23389 	23717 	26889 	19840 	16740 	17353 	17084 b	18527 	20166 	22512 	26577 	31196 	37159 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,IT	: 	12506 	12939 	13634 	13669 	14477 	14435 	15227 	15263 	15758 	15552 	16001 	16442 b	17447 	17412 	17544 	17721 	18277 	19029 	18833 
A,EUR,MED_E,DEG1,F,Y_GE65,LT	: 	: 	1833 	2090 	2572 	3333 	3985 	3895 	3579 	3680 b	4215 	4068 	4152 	4456 	4641 	4999 	5500 	5912 	6443 	6746 
A,EUR,MED_E,DEG1,F,Y_GE65,LU	24977 	26293 	27454 	28801 	28841 	29333 	30719 	33733 	32855 	36464 b	34723 	38452 	38009 	35194 b	41497 	46800 	42302 	55344 b	48475 b	48316 b
A,EUR,MED_E,DEG1,F,Y_GE65,LV	: 	: 	1688 	1900 	2399 	2780 	3430 	3808 	3758 	3682 b	3770 	3811 	3964 	4457 	4472 	4661 	5231 	5979 	6161 	7034 
A,EUR,MED_E,DEG1,F,Y_GE65,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2716 	2713 	3055 	3276 	3372 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE65,MT	: 	: 	6456 	7442 	7457 	7552 	8245 	8657 	8987 	9393 b	9798 	10098 	10418 	10289 	10861 	10876 	11406 	12926 	12918 	13090 
A,EUR,MED_E,DEG1,F,Y_GE65,NL	: 	: 	15350 	15327 	15767 	16801 	17725 	17754 	18051 	18667 b	18750 	18865 	18978 	18910 b	19407 	19981 	20180 	21143 	21519 	22061 
A,EUR,MED_E,DEG1,F,Y_GE65,NO	: 	20988 	20649 	23247 	24012 	26898 	29260 	29040 	31576 	37478 b	39165 	: 	39919 	36096 	34510 	35789 	37856 	37435 	34076 b	36993 
A,EUR,MED_E,DEG1,F,Y_GE65,PL	: 	: 	2916 	3572 	4004 	4398 	5112 	4437 	5127 	5282 b	5592 	5663 	5837 	6058 	5988 	6453 	6750 	7337 	7657 	8394 
A,EUR,MED_E,DEG1,F,Y_GE65,PT	: 	6407 	6863 	7090 	7131 	7810 	8316 	8285 	8403 	8932 b	8811 	8540 	8640 	9043 	9075 	9538 	10407 	11186 	11515 	12027 
A,EUR,MED_E,DEG1,F,Y_GE65,RO	: 	: 	: 	: 	1735 	2341 	2689 	2581 	2684 	2696 b	2459 	2670 	2736 	2972 	3318 	3727 	4228 	4432 	4940 	6583 
A,EUR,MED_E,DEG1,F,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2921 	3041 	3001 	2952 	2924 	3165 	3824 	3994 	4613 	4592 
A,EUR,MED_E,DEG1,F,Y_GE65,SE	: 	14449 	14306 	16019 	15829 	16831 b	17397 	16181 	17870 	19169 b	20031 	22073 	20066 	19088 	20741 	20753 	20050 	19822 	21101 	21958 
A,EUR,MED_E,DEG1,F,Y_GE65,SI	: 	: 	8297 	8586 	9521 	10058 	10895 	10524 	10946 	10984 b	10714 	11522 	11744 	12348 	12436 	12872 	13090 	13493 	13955 	14591 
A,EUR,MED_E,DEG1,F,Y_GE65,SK	: 	: 	2401 	2955 	3456 	4150 	4914 	5512 	5782 	5976 b	6221 	6594 	6888 	6807 	6645 	6872 	7317 	8272 	8553 	9385 
A,EUR,MED_E,DEG1,F,Y_GE65,UK	: 	: 	14120 	14758 	16106 	14374 	13146 	13674 	13995 	16768 b	15807 	17936 	17866 	18125 	17982 b	17985 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2122 	2384 	2414 	2824 	2709 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,AT	15681 	17595 	17473 	17452 	18461 	17324 b	18882 	20139 	22057 	20636 b	20938 	22410 	23699 	24009 	24609 	24341 	25941 	26545 	26911 	25461 
A,EUR,MED_E,DEG1,F,Y_GE75,BE	11980 	12045 	11659 	12360 	12766 	13401 	14676 	14735 	15258 	14937 b	16636 	16367 	16990 	17180 	17898 	18010 	18655 b	18319 	19746 	19152 
A,EUR,MED_E,DEG1,F,Y_GE75,BG	: 	: 	: 	1086 	1138 	1539 	1973 	2650 	2444 	2278 b	2538 	2981 	2328 	2443 b	2380 	2709 	2838 	2980 	3280 	3202 
A,EUR,MED_E,DEG1,F,Y_GE75,CH	: 	: 	: 	: 	22487 	21043 	21421 	22625 	24570 	28165 b	30291 	28185 b	29397 	35118 	34590 	36263 	31354 	32026 	34904 	35839 
A,EUR,MED_E,DEG1,F,Y_GE75,CY	: 	: 	7429 	7952 	8426 	8901 b	9366 	9931 	10687 	10751 b	11229 	9699 	10250 	10161 	10511 	11085 	11874 	12093 	12145 	12663 
A,EUR,MED_E,DEG1,F,Y_GE75,CZ	: 	: 	3459 	3823 	4364 	4745 	5772 	5746 	6099 	6399 b	6536 	6283 	6044 	6166 	6492 	6575 	7145 	7871 	8395 	8791 
A,EUR,MED_E,DEG1,F,Y_GE75,DE	: 	: 	15216 	14570 	15242 	16423 	16762 	17597 	18190 	17691 b	17421 	18105 	18361 	18692 	19045 	19920 	20255 	22734 b	21720 	21900 
A,EUR,MED_E,DEG1,F,Y_GE75,DK	15403 	15699 	16611 	17210 	18259 	17979 	19095 	19660 	21289 b	21036 b	20845 	21269 	22158 	22001 	23222 	24367 	24012 	24075 b	25601 	25949 
A,EUR,MED_E,DEG1,F,Y_GE75,EA	: 	: 	: 	: 	: 	14924 e	15306 e	15917 e	16308 e	16315 e	16297 e	16543 e	16568 e	17068 e	17258 e	17532 e	17167 e	18809 b	18593 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,EA18	: 	: 	12947 	12890 	13220 	14688 	15140 	15752 	16207 	16205 e	16193 e	16543 e	16721 e	17216 e	17398 e	17688 e	17311 e	18939 b	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,EA19	: 	: 	12865 	12809 	13139 	14581 	15034 	15648 	16100 	16088 e	16075 e	16405 e	16568 e	17068 e	17258 e	17532 e	17167 e	18809 b	18593 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16454 	16477 	16978 	17163 	17428 	17061 	18702 	18448 	18564 
A,EUR,MED_E,DEG1,F,Y_GE75,EE	: 	1748 	2164 	2506 	2767 	3189 	3826 	4076 	4226 	4377 b	4492 	4541 b	4903 	5064 	5298 	5873 	6191 	6953 	7486 	7629 
A,EUR,MED_E,DEG1,F,Y_GE75,EL	8150 	7800 	8234 	8689 	9660 	10267 	11080 	11038 	8960 	9890 b	8420 	7950 	7950 	7941 	8228 	8270 	8399 	8955 	8950 	9250 
A,EUR,MED_E,DEG1,F,Y_GE75,ES	: 	8588 	8401 	8586 	9800 	11966 b	13197 	13465 	12699 	13434 b	13088 	13264 	13194 	13276 	13442 	13670 	14275 	15839 	15185 	16150 
A,EUR,MED_E,DEG1,F,Y_GE75,EU	: 	: 	: 	: 	: 	13140 e	13228 e	13711 e	14238 e	14622 e	14462 e	14957 e	14957 e	15355 e	15605 e	15731 e	15455 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,EU27_2007	: 	: 	11625 e	11871 e	12433 	13140 	13228 	13764 	14298 	14687 e	14516 e	15012 e	15012 e	15409 e	15663 e	15792 e	15518 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,EU27_2020	: 	: 	: 	: 	: 	: 	: 	13800 e	14358 e	14352 e	14417 e	14682 e	14767 e	15154 e	15411 e	15646 e	15316 e	16865 b	16749 	16953 
A,EUR,MED_E,DEG1,F,Y_GE75,EU28	: 	: 	: 	: 	: 	: 	: 	13711 	14238 	14622 e	14462 e	14957 e	14957 e	15355 e	15605 e	15731 e	15455 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,FI	: 	12214 	12934 	13737 	13265 	13709 	15217 	16212 	16408 	17348 b	16974 	17476 	17434 	18730 	18567 	19655 	19438 	19769 	19702 	20679 
A,EUR,MED_E,DEG1,F,Y_GE75,FR	: 	14763 	16211 	15484 	15914 	18287 b	18521 	19470 	20805 	20932 b	21059 	21418 	21585 	22816 	22982 	22537 	21463 	22267 b	22250 	22073 b
A,EUR,MED_E,DEG1,F,Y_GE75,HR	: 	: 	: 	: 	: 	: 	: 	4968 	4939 	5001 b	4786 	4750 	5501 	5516 	5655 	5952 	5931 	6471 	5890 	6689 
A,EUR,MED_E,DEG1,F,Y_GE75,HU	: 	: 	3685 	3870 	4030 	4796 	5118 	4711 	4792 	4729 b	4763 	5031 	5068 	5301 	5274 	5428 	5630 	5989 	6164 	6691 
A,EUR,MED_E,DEG1,F,Y_GE75,IE	11446 	11738 	13899 	14575 	15601 	17199 	18494 	18100 	16822 	16412 b	21609 	20465 	21276 	19492 	20049 	19477 	19900 	22959 b	21926 	21279 
A,EUR,MED_E,DEG1,F,Y_GE75,IS	: 	15602 	17642 	21547 	21192 	25077 	18638 	14649 	15375 	15804 b	17373 	17407 	20253 	23890 	27354 	33700 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,IT	: 	12267 	12747 	13219 	13145 	14090 	13927 	14621 	14895 	15232 	15168 	15512 	15582 b	16196 	16198 	16963 	16456 	17774 	18517 	17882 
A,EUR,MED_E,DEG1,F,Y_GE75,LT	: 	: 	1651 	2079 	2479 	3026 	3522 	3602 	3529 	3571 b	3956 	3942 	3870 	4169 	4141 	4301 	5237 	5488 	6144 	6554 
A,EUR,MED_E,DEG1,F,Y_GE75,LU	25815 	26063 	27911 	30953 	29459 	28995 	31627 	33957 	33177 	38483 bu	32740 u	36868 u	36872 u	37901 bu	39510 u	50750 u	46574 u	55344 bu	50939 bu	49122 bu
A,EUR,MED_E,DEG1,F,Y_GE75,LV	: 	: 	1678 	1799 	2316 	2586 	3076 	3418 	3483 	3434 b	3500 	3467 	3671 	4045 	4026 	4073 	4588 	5192 	5105 	5594 
A,EUR,MED_E,DEG1,F,Y_GE75,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2321 	2585 	2845 	3094 	3309 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE75,MT	: 	: 	6877 	7874 	7309 	7464 	8167 	8462 	8971 	9185 b	9497 	9697 	9993 	10022 	10651 	10693 	11293 	12178 	12798 	12463 
A,EUR,MED_E,DEG1,F,Y_GE75,NL	: 	: 	15012 	15092 	15536 	16616 	17277 	16850 	17249 	17955 b	18505 	18468 	17990 	18269 b	18579 	19021 	19582 	20459 	20588 	21149 
A,EUR,MED_E,DEG1,F,Y_GE75,NO	: 	18017 	18931 	21321 	22367 	24411 	25981 	24936 	27646 	33536 b	33137 	: 	34706 	32696 	28828 	32051 	35453 	35287 	33345 b	35016 
A,EUR,MED_E,DEG1,F,Y_GE75,PL	: 	: 	2896 	3579 	4107 	4403 	5125 	4488 	5264 	5448 b	5648 	5785 	5957 	6043 	5974 	6426 	6509 	7045 	7262 	8005 
A,EUR,MED_E,DEG1,F,Y_GE75,PT	: 	6003 	6203 	6744 	6312 	7243 	6785 	7268 	7733 	7888 b	8417 	8000 	8087 	8184 	8373 	8621 	9300 	10280 	10460 	11297 
A,EUR,MED_E,DEG1,F,Y_GE75,RO	: 	: 	: 	: 	1680 	2148 	2355 	2458 	2558 	2612 b	2328 	2524 	2567 	2589 	3071 	3414 	4083 	4278 	4888 	6331 
A,EUR,MED_E,DEG1,F,Y_GE75,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2770 	2828 	2863 	2783 	2828 	3007 	3585 	3646 	3978 	4297 
A,EUR,MED_E,DEG1,F,Y_GE75,SE	: 	13130 	13398 	13395 	13636 	14577 b	14463 	13842 	15480 	17215 b	17692 	18825 	17530 	17029 	17429 	17885 	17421 	17822 	19033 	19718 
A,EUR,MED_E,DEG1,F,Y_GE75,SI	: 	: 	8128 	8364 	9491 	9712 	10008 	10272 	10184 	10610 b	10286 	10933 	11505 	10852 	11580 	12000 	12601 	12437 	14287 	14676 
A,EUR,MED_E,DEG1,F,Y_GE75,SK	: 	: 	2296 	2718 	3292 	3875 	4770 	5296 	5434 	5874 b	5977 	6097 	6524 	6287 	6180 	6333 	6697 	8138 	8607 	9495 
A,EUR,MED_E,DEG1,F,Y_GE75,UK	: 	: 	13444 	13903 	15568 	14205 	12674 	13252 	13493 	16159 b	14733 	16595 	16091 	16561 	16694 b	16224 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_LT18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2044 	2223 	2457 	2710 	2700 	: 
A,EUR,MED_E,DEG1,F,Y_LT18,AT	14166 	14650 	16677 	15453 	15225 	15250 b	17122 	17064 	18761 	17411 b	17564 	18153 	18931 	18714 	20307 	20699 	18151 	22075 	21656 	21127 
A,EUR,MED_E,DEG1,F,Y_LT18,BE	14782 	14780 	15072 	16292 	16221 	16461 	17619 	18019 	16952 	16351 b	17164 	17899 	18176 	17491 	18312 	19709 	20965 b	21922 	21610 	22932 
A,EUR,MED_E,DEG1,F,Y_LT18,BG	: 	: 	: 	1518 	1640 	2572 	3255 	3520 	3593 	3378 b	3289 	3726 	3988 	3472 b	4190 	3968 	4769 	4872 	5622 	5891 
A,EUR,MED_E,DEG1,F,Y_LT18,CH	: 	: 	: 	: 	24656 	23631 	26113 	27020 	31028 	35382 b	36683 	35898 b	38881 	38273 	41000 	41986 	40022 	39726 	43359 	41882 
