freq,unit,geo,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,HAB_P,FRC1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,359.62,382.29b,376.84,375.37,375.63,375.96,370.00,366.89,366.61,359.28,355.26,352.92,:
A,HAB_P,FRC2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,332.23,358.64b,355.51,357.49,353.71,353.63,352.61,351.46,350.41,344.65,345.59,345.60,:
A,HAB_P,FRD1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,368.18,369.39b,367.93,362.78,357.87,351.50,352.05,351.45,353.54,347.72,343.80,340.80,:
A,HAB_P,FRD2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,381.85,399.75b,397.42,395.09,392.64,388.77,386.48,390.00,391.08,386.04,382.99,382.56,:
A,HAB_P,FRE1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,340.21,358.12b,353.57,351.09,344.05,341.87,338.52,335.61,335.69,331.07,329.81,330.37,:
A,HAB_P,FRE2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,391.46,421.01b,417.79,418.17,412.63,411.38,408.27,409.60,409.11,410.46,413.96,415.58,:
A,HAB_P,FRF1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,299.87,311.16b,310.41,308.22,303.72,300.30,299.17,297.62,295.48,292.48,289.45,288.65,:
A,HAB_P,FRF2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,352.33,382.74b,381.74,374.90,374.80,375.74,376.75,374.72,373.33,364.58,364.29,361.21,:
A,HAB_P,FRF3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,342.66,357.56b,354.61,354.15,349.81,349.93,349.05,350.29,351.90,349.03,347.95,350.05,:
A,HAB_P,FRG0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,373.25,394.60b,390.48,386.69,381.96,381.97,378.70,375.04,373.23,363.46,360.59,359.90,:
A,HAB_P,FRH0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,331.93,350.46b,348.45,345.74,343.53,341.85,337.89,334.59,333.25,325.51,322.39,316.75,:
